job_id,job_title,company,industry,country,region,experience_level,remote_type,salary_usd,ai_skills_required,num_ai_skills,applicants,source_platform,posting_date
JOB00001,Machine Learning Engineer,HelixSolutions,Media & Entertainment,Germany,Europe,Senior,Hybrid,149000,"AWS, Data Visualization, Excel, Power BI, Prompt Engineering",5,22.0,LinkedIn,2025-03-08
JOB00002,MLOps Engineer,DeltaData,Consulting,Canada,North America,Mid,Remote,140500,"ETL, Generative AI, LLMs, SQL, Statistics, scikit-learn",6,32.0,Indeed,2025-06-19
JOB00003,Applied Scientist,OrbitAI,Media & Entertainment,Australia,Oceania,Mid,Remote,179000,"Excel, LLMs, NLP, Power BI",4,57.0,Indeed,2025-12-09
JOB00004,NLP Engineer,NovaAnalytics,Consulting,India,South Asia,Senior,Hybrid,69000,"AWS, Azure ML, Python, Tableau",4,19.0,Glassdoor,2025-08-31
JOB00005,AI Research Engineer,NimbusAI,Healthcare,Pakistan,South Asia,Mid,Hybrid,51500,"Azure ML, Generative AI, LLMs, SQL, scikit-learn",5,37.0,Glassdoor,2025-12-24
JOB00006,AI Research Engineer,VantageTechnologies,Telecom,United States,North America,Entry,Remote,110500,"A/B Testing, Computer Vision, Docker, LLMs, MLOps",5,63.0,Indeed,2025-01-09
JOB00007,Prompt Engineer,QuantumTechnologies,Healthcare,France,Europe,Entry,Hybrid,60000,"Excel, R, scikit-learn",3,73.0,Indeed,2025-12-16
JOB00008,AI Research Engineer,OrbitIntelligence,Media & Entertainment,Brazil,South America,Senior,Hybrid,102500,"Computer Vision, Data Visualization, Power BI, Prompt Engineering",4,21.0,LinkedIn,2025-04-22
JOB00009,AI Data Analyst,VertexWorks,Media & Entertainment,India,South Asia,Mid,Hybrid,23000,"Azure ML, Computer Vision, Python, R, SQL",5,29.0,Indeed,2025-08-29
JOB00010,Data Scientist,LumenTechnologies,Government,Singapore,Southeast Asia,Mid,Remote,73000,"Azure ML, LLMs, NLP, SQL, Statistics",5,63.0,LinkedIn,2025-06-28
JOB00011,Generative AI Developer,QuantumLabs,E-commerce,United Kingdom,Europe,Mid,Hybrid,144500,"Docker, Generative AI, Tableau",3,42.0,LinkedIn,2025-04-25
JOB00012,Data Engineer (AI Systems),HelixLabs,Government,India,South Asia,Senior,Remote,50500,"Data Visualization, LLMs, NLP, Power BI, Prompt Engineering, scikit-learn",6,22.0,LinkedIn,2025-12-13
